index,segment,answerDate,NPS,impactInteraction,reason,improvement
451,Segmento 1,MES 2,9,5,Excelente atención,Todo muy bien
452,Segmento 1,MES 3,10,5,Buena atención,Quiero renunciar al seguro. Para no pagar ese dinero..
453,Segmento 2,MES 1,10,5,Excelente atención,Todo está bien
454,Segmento 3,MES 2,10,5,Buen servicio,Seguir con  la atención eficiente
455,Segmento 1,MES 3,10,5,Buen servicio,
456,Segmento 1,MES 1,9,5,Por la atención,Mejorar los tiempos de atencion
457,Segmento 1,MES 2,10,5,Excelente atención,Tener más puntos de pago
458,Segmento 1,MES 3,10,4,Buena atención,"Sincronizar la información de los datos de las llamadas, con las de las oficinas"
459,Segmento 1,MES 1,9,5,Buena atención,Seguir con sus buenos principios de valores y dedicación al cliente
460,Segmento 1,MES 2,10,1,Muy buena atención,Seguir cómo está
461,Segmento 1,MES 3,10,5,Buena atención,Mucha cordialidad
462,Segmento 1,MES 1,10,1,Buena atencion,Todo esta bin
463,Segmento 1,MES 2,10,5,Buena atencion,
464,Segmento 1,MES 3,10,5,La atención,Qué la línea sea más rapida
465,Segmento 1,MES 1,10,5,Muy buena atencion,Todo está bn
466,Segmento 2,MES 2,10,5,Atención,
467,Segmento 1,MES 3,10,5,Excelente atención,Contratar otra igual muy eficiente
468,Segmento 1,MES 1,10,3,Todo normal,Todo está bien
469,Segmento 1,MES 2,10,5,Muy buena atencion,Todo fue una buena atencion
470,Segmento 1,MES 3,10,5,Buena atención,
471,Segmento 1,MES 1,10,5,Por la atención,Acortar el tiempo de espera
472,Segmento 2,MES 2,10,5,Buena atención,Cajeros automáticos que reciban consignacióniones en Armenia Quindío
473,Segmento 1,MES 3,9,4,Buena atencion,Nada
474,Segmento 1,MES 1,10,5,Excelente servicio,
475,Segmento 1,MES 2,10,5,Excelente atencion,Todo está bien
476,Segmento 1,MES 3,10,5,Excelente servicio,Excelente
477,Segmento 2,MES 1,10,5,EXCELENTE ATENCION,
478,Segmento 2,MES 2,10,5,Buena atencion,
479,Segmento 1,MES 3,10,5,BUENA ATENCIÓN,
480,Segmento 1,MES 1,9,5,Buena atencion,
481,Segmento 1,MES 2,10,5,Excelente atención,Así esta muy bn
482,Segmento 1,MES 3,10,5,Buen servicio,Na
483,Segmento 1,MES 1,10,5,Muy buena atención,Seguir así
484,Segmento 1,MES 2,10,1,Excelente servicio,No
485,Segmento 1,MES 3,10,5,Buen servicio,Esta bien todo lo que brindan
486,Segmento 1,MES 1,10,5,Excelente atención,O k
487,Segmento 1,MES 2,10,5,Muy buena atención,No cerrar oficinas de siete de agosto y Galería Bogotá
488,Segmento 1,MES 3,10,5,buena atencion,esta todo muy bien
489,Segmento 1,MES 1,10,5,Buen servicio,Más funcionarios para atender
490,Segmento 1,MES 2,10,5,buena atención,esta todo bien
491,Segmento 2,MES 3,10,5,Excelente atención,Todo muy bien
492,Segmento 1,MES 1,10,5,Excelente servicio,Más cajeros depronto
493,Segmento 1,MES 2,10,5,Excelente servicio,
494,Segmento 1,MES 3,10,5,Excelente atención,Tener café para los clientes
495,Segmento 1,MES 1,10,5,excelente atención,
496,Segmento 1,MES 2,10,5,Muy buena atención,
497,Segmento 1,MES 3,10,5,Buena atencion,Seguir igual
498,Segmento 2,MES 1,10,5,excelente atencion,no cambiar
499,Segmento 1,MES 2,10,5,Excelente atención,"Considero que así esta muy bien. 
Gracias"
500,Segmento 1,MES 3,10,5,Excelente servicio,"No pude crear la cuenta por la app y como no era cliente no me atendieron por telefono, me tuve que desplazar hasta la oficina, ojala mejoraran eso."
501,Segmento 1,MES 1,10,5,Excelente servicio,
502,Segmento 1,MES 2,10,5,Excelente servicio,Dar obsequios
503,Segmento 1,MES 3,10,5,Excelente servicio,
504,Segmento 3,MES 1,10,5,Excelente atencion,Disminuir las tazas de interes en los prestamos
505,Segmento 2,MES 2,10,5,Buena atención,Brindar un tintico
506,Segmento 1,MES 3,10,5,buen servicio,nada esta muy bien
507,Segmento 1,MES 1,10,5,Muy buena atención,
508,Segmento 1,MES 2,10,4,Sigue igual,Me párese muy buena la atención como esta
510,Segmento 1,MES 1,10,5,BUENA ATENCION,
511,Segmento 1,MES 2,10,5,Excelente atencion,Todo esta muy bien
512,Segmento 1,MES 3,10,5,Buena atención,
513,Segmento 2,MES 1,10,3,es igual,menos reunion
514,Segmento 1,MES 2,10,5,Buen servicio,
515,Segmento 1,MES 3,10,5,Excelente servicio,
516,Segmento 1,MES 1,10,5,Buena atencion,Esta bien
517,Segmento 1,MES 2,10,5,Muy buena atención,Estan muy bien cómo están
518,Segmento 1,MES 3,10,3,no estuve en ninguna oficina,así esta bien
519,Segmento 1,MES 1,10,5,Excelente servicio,Mantener funcionarios así en servicio al cliente
520,Segmento 1,MES 2,10,5,Muy buena atención,Me gustaría saber cuántas son las compras q debe hacer mensualmente para evitar el pago del manejo de la tarjeta
521,Segmento 1,MES 3,10,5,excelente atencion,
522,Segmento 1,MES 1,10,5,Muy buena atencion,
523,Segmento 1,MES 2,10,5,Excelente servicio,Ninguna
524,Segmento 2,MES 3,10,5,excelente atención,parmi todo está bien
525,Segmento 1,MES 1,9,4,La atención,
526,Segmento 1,MES 2,9,5,,
527,Segmento 3,MES 3,10,5,Muy buena atención,Seguir igual
528,Segmento 1,MES 1,10,5,Buena atencion,"Solicite se me expida una poliza de asistencia medica en viaje internacional, me gustaria me den respuesta lo  mas pronto posible."
529,Segmento 1,MES 2,9,5,Buen servicio,Oficinas en chia cundinamarca
530,Segmento 1,MES 3,9,5,Buena atencion,No aplica
531,Segmento 1,MES 1,10,5,Buen servicio,
532,Segmento 1,MES 2,9,3,Fue virtual,Quiza màs soluciones a Colombianos en el exterior
533,Segmento 1,MES 3,10,3,No,Todo bien
534,Segmento 1,MES 1,10,3,me atendieron bien,una tarjeta de credito que no me cobre manejo
535,Segmento 1,MES 2,10,5,Excelente servicio,No  cero que están bien 👍
536,Segmento 1,MES 3,10,5,Excelente servicio,Seguir igual
537,Segmento 1,MES 1,10,4,Ok,En algunas oficinas faltan acesores
538,Segmento 1,MES 2,10,5,Excelente atención,
539,Segmento 1,MES 3,10,5,Bien,Nada
540,Segmento 1,MES 1,9,5,por la atención,mejorar el servicio de cajeros electrónicos.
541,Segmento 1,MES 2,10,5,Excelente servicio,Por ahora aumentar el número de asesores
542,Segmento 1,MES 3,10,5,Me atendieron rápido,No se me ocurre nada
543,Segmento 1,MES 1,9,5,Buen servicio,
544,Segmento 1,MES 2,9,5,buena atencion,abrir otra oficina en el norte de la ciudad de Tunja
545,Segmento 1,MES 3,10,5,Buen servicio,Todo bien
546,Segmento 1,MES 1,9,5,Excelente servicio,Súper bien
547,Segmento 1,MES 2,10,5,X,X
548,Segmento 2,MES 3,10,5,Buena atencion,
549,Segmento 1,MES 1,10,4,Buen servicio,Más cajeros
550,Segmento 1,MES 2,9,5,Buena Atención,Esta bien
551,Segmento 1,MES 3,10,3,Todo bien,Muy buena la a atención
552,Segmento 1,MES 1,10,5,Fui bien atendido,Así van bien gracias
553,Segmento 1,MES 2,10,5,Muy buena atención,
554,Segmento 1,MES 3,10,4,No me dieron solución,Solucionarme
555,Segmento 1,MES 1,9,4,Buen servicio,No todo estuvo bien
556,Segmento 1,MES 2,10,5,Muy buena atención,Más rapides
557,Segmento 1,MES 3,10,5,Rápida atención,Más cajeros en la ciudad
558,Segmento 1,MES 1,9,5,Excelente servicio,
559,Segmento 1,MES 2,9,5,Atención,Quizás el asesor se encontraba con otro tema al tiempo
560,Segmento 2,MES 3,10,5,Excelente atención,
561,Segmento 1,MES 1,9,3,Todo igual,He sido bien atendida
562,Segmento 1,MES 2,10,5,Buena atención,Horarios y más cajeros
563,Segmento 2,MES 3,10,5,Excelente atención,Mantener la calidad de servicio y felicitar al asesor: don de gente!!
564,Segmento 2,MES 1,10,5,Muy buena atención,No tengo sugerencias
565,Segmento 1,MES 2,10,5,Muy buena atencion,Está bien asi
566,Segmento 1,MES 3,10,5,Buena atención,Seguir
567,Segmento 1,MES 1,10,5,Atención,Esta bien para mi
568,Segmento 2,MES 2,10,5,La atención,Excelente
569,Segmento 1,MES 3,10,5,Excelente atención,Todo bien
570,Segmento 1,MES 1,10,5,Excelente servicio,Todo está bien
571,Segmento 1,MES 2,10,5,Muy buena atención,Está muy bien así
572,Segmento 1,MES 3,10,3,Todo normal,Nada todo bien
573,Segmento 1,MES 1,10,5,Excelente atención,
574,Segmento 1,MES 2,10,5,Excelente atención,Todo es excelente
575,Segmento 1,MES 3,10,5,Buena atención,No.  Me siente bien agendida
576,Segmento 1,MES 1,10,4,Buena atención,me atendieron muy bien
577,Segmento 1,MES 2,10,5,Muy buena atención,Por el momento nada me he sentido bien
578,Segmento 1,MES 3,10,5,Muy buena atención,Fácil en tema de transacciones
579,Segmento 1,MES 1,10,5,Buena atención,Nada muchas gracias
580,Segmento 1,MES 2,9,4,Buena atención,"Se dificulta la app, la siento complicada"
581,Segmento 1,MES 3,10,5,Muy buena atencion,
582,Segmento 1,MES 1,9,5,Muy buena atención,Para mi nada todo esta bien siempre que boy al banco
583,Segmento 1,MES 2,10,5,MUY BUENA ATENCION,CONTINUAR NO DESMEJORAR
584,Segmento 2,MES 3,9,5,Excelente servicio,Ubicar más cajeros automáticos en Valledupar
585,Segmento 1,MES 1,10,5,Buena atención,
586,Segmento 2,MES 2,10,5,Buena atencion,todo ok
587,Segmento 2,MES 3,10,5,Buen servicio,
588,Segmento 1,MES 1,10,5,Excelente atención,
589,Segmento 1,MES 2,10,5,Muy buena atención,
590,Segmento 2,MES 3,10,5,La atención,Bajar intereses
591,Segmento 1,MES 1,10,5,Buena atencion,En asesores aumentar el personal para mejor atención.
592,Segmento 1,MES 2,10,5,excelente atencion,Continuar con la amabilidad
593,Segmento 1,MES 3,9,5,Porque si,Hacer más fácil la comunicación con serv al cliente
594,Segmento 1,MES 1,10,4,BUENA ATENCION,MENOS CONGESTION
595,Segmento 1,MES 2,10,5,BUENA ATENCION,"TENER MAS ASESORES, SOLO TIENEN 2 Y UNO SIEMPRE ESTA FUERA DE SERVICIO"
596,Segmento 1,MES 3,10,5,Muy buena atención,Tener más en cuenta a los tercera edad
597,Segmento 1,MES 1,10,5,Excelente atención,
598,Segmento 1,MES 2,10,5,Muy buena atencion,De acuerdo al flujo de público utilizar más personal de servicio al cliente
599,Segmento 1,MES 3,10,5,Buena atención,Por el momento tener más cupo gracias
600,Segmento 1,MES 1,10,5,Servicio,"No llamar a ofrecer producto. Con el tema se inseguridad, es mejor tener 
Una semana para que el cliente pase a las oficinas y revise que se ofrece."
601,Segmento 1,MES 2,9,5,Rapidez en la atención,
602,Segmento 1,MES 3,10,3,normal la atencion,
604,Segmento 1,MES 2,10,5,Buen trato,Todo ha Sido favorable
605,Segmento 1,MES 3,9,5,Buen servicio,Esta bien así. Gracias
606,Segmento 2,MES 1,10,5,Excelente servicio,Todo muy bien
607,Segmento 1,MES 2,10,5,servicio,esta todo correcto
608,Segmento 2,MES 3,10,5,Buena atención,
609,Segmento 1,MES 1,10,5,Excelente atención,Todo es perfecto muchas gracias
610,Segmento 1,MES 2,9,5,Excelente atención,Atención de acuerdo a turno
611,Segmento 1,MES 3,10,5,Excelente atencion,
612,Segmento 2,MES 1,10,5,Buena atención,Continuar atendiendo bien
613,Segmento 1,MES 2,10,4,Muy buena atención,Una línea de atención al cliente
614,Segmento 1,MES 3,10,5,Buena atencion,Exelente servicio
615,Segmento 1,MES 1,10,5,Buena atención,Creo q así  esta bien
616,Segmento 1,MES 2,10,3,Buena atencion,La linea que tenga la opcion de que le contesten sin clave
617,Segmento 1,MES 3,9,5,Buena atencion,Ok
618,Segmento 2,MES 1,9,5,Buena atención,
619,Segmento 1,MES 2,10,5,Buen servicio,Sigue cómo vienen
620,Segmento 1,MES 3,10,5,Muy buena atención,Estoy muy satisfecha
621,Segmento 1,MES 1,10,5,Muy buena atención,Ya está mejor.
622,Segmento 1,MES 2,10,5,Excelente atención,Todo esta bien
623,Segmento 2,MES 3,10,5,Buena atención,Quedé satisfecha
624,Segmento 2,MES 1,10,3,Excelente servicio,Seguir con el excelente servicio
625,Segmento 1,MES 2,10,5,Buena atención,
626,Segmento 2,MES 3,10,3,No me solucionan nada,Llama uno ala multilinia y duran para pasar un asesor  más de media hora
627,Segmento 1,MES 1,10,5,Buen servicio,Hasta el momento bien
628,Segmento 1,MES 2,10,5,Fue rápido el servicio,Estuvo muy bueno el servicio
629,Segmento 1,MES 3,10,5,Buena atención,Más agilidad en los cajeros
630,Segmento 1,MES 1,10,5,Muy buena atencion,Más cajeros
631,Segmento 1,MES 2,9,5,Muy buena atención,
632,Segmento 1,MES 3,10,5,Buen servicio,
633,Segmento 1,MES 1,10,5,Por su atencion,Siempre me atienden bien
634,Segmento 1,MES 2,10,5,Excelente atencion,Seguí así
635,Segmento 1,MES 3,10,5,Buen servicio,Ningun comentario
636,Segmento 1,MES 1,10,5,Excelente atención,Quede muy conforme
637,Segmento 1,MES 2,10,5,Buena atención,Así están bien
638,Segmento 1,MES 3,10,5,Atencion,Más promociones y precios competitivos
639,Segmento 1,MES 1,10,5,Buena atención,
640,Segmento 1,MES 2,9,3,Muy demorada la atencion,En temporada se debería activar el funcionamiento de todas las cajas
641,Segmento 1,MES 3,10,5,Buena atención,muy buena atención
642,Segmento 1,MES 1,10,5,Buena atención,Seguir con la exelente atención
643,Segmento 1,MES 2,10,4,Excelente atención,Estuvo muy bien
644,Segmento 1,MES 3,9,4,Atención rápida,",,"
645,Segmento 1,MES 1,10,5,Excelente servicio,Tener un poco mas de cuidado con el sistema informatico
646,Segmento 1,MES 2,9,4,Buen servicio,
647,Segmento 1,MES 3,10,5,Excelente servicio,
648,Segmento 1,MES 1,10,5,Excelente atención,
649,Segmento 1,MES 2,10,5,Rápida atención,Dar tinto
650,Segmento 2,MES 3,10,5,Buena atención,Seguir con esa buena  amabilidad
651,Segmento 2,MES 1,10,5,Excelente atención,
652,Segmento 1,MES 2,10,5,Por la atención,Ofrecer Tito o gaseosa
653,Segmento 1,MES 3,10,5,Buena atención,Así está bien
654,Segmento 1,MES 1,10,5,Buen servicio,Mantener la calidad
655,Segmento 1,MES 2,10,5,Atención rápida,Aumentar el cupo de mi crédito
656,Segmento 1,MES 3,10,5,Muy buena atención,
657,Segmento 1,MES 1,10,4,Buena atención,Esta bien
658,Segmento 1,MES 2,10,5,Atención rápida,Así esta bien
659,Segmento 1,MES 3,10,3,Buen servicio,Todo esta muy bien
660,Segmento 1,MES 1,10,5,Excelente atencion,
661,Segmento 1,MES 2,10,3,Todo normal,Más cajeros  en el banco en fechas especiales.
662,Segmento 1,MES 3,9,5,Muy buena atención,
663,Segmento 1,MES 1,10,3,La atención igual,Agilizar la atención al cliente
664,Segmento 1,MES 2,9,4,Fue rápido el servicio,
665,Segmento 1,MES 3,9,4,Buena atención,
666,Segmento 1,MES 1,10,5,Buena atención,Para esta muy bien así
667,Segmento 1,MES 2,9,5,Atención rápida,Más asesores
668,Segmento 2,MES 3,10,4,Buen servicio,
669,Segmento 1,MES 1,10,5,La atención,Poder hacer mas cosas con la aplicación
670,Segmento 1,MES 2,10,5,ok,ok
671,Segmento 1,MES 3,10,5,Buena atención,
672,Segmento 1,MES 1,10,5,Excelente servicio,Rapidez en atención por turno
673,Segmento 2,MES 2,9,5,Me atendieron bien,Que la atención telefónica sea mejor
674,Segmento 2,MES 3,10,5,Buen servicio,"Así está bien,son atentos"
675,Segmento 1,MES 1,10,4,Muy buena atencion,Un poco más ágil tarde mucho en hacer mi trámite
676,Segmento 1,MES 2,10,5,Excelente atención,Seguir igual de atentos con los clientes
677,Segmento 1,MES 3,9,5,Buena atencion,Si pueden aumentar me un poco el cupo me gudtaria
678,Segmento 2,MES 1,10,5,Excelente atención,
679,Segmento 1,MES 2,9,3,Na,
680,Segmento 1,MES 3,10,5,Muy buena atención,
681,Segmento 2,MES 1,9,5,Buena atencion,
682,Segmento 1,MES 2,9,5,Muy buena atención,No sé aún. Es la primera vez que tengo contacto con la.entidad.
683,Segmento 1,MES 3,10,5,Buena atencion,Así está bien
684,Segmento 1,MES 1,9,5,Atención,Mantener el nivel de atención
685,Segmento 1,MES 2,10,5,Muy buena atención,Seguir así de amables día a día
686,Segmento 1,MES 3,10,5,Excelente servicio,
687,Segmento 1,MES 1,10,5,Excelente servicio,
688,Segmento 1,MES 2,10,5,Muy buena atención,Así está bien
689,Segmento 1,MES 3,10,5,Buen servicio,Así está bien
690,Segmento 1,MES 1,10,5,Buen servicio,
691,Segmento 2,MES 2,10,5,excelente atencion,
692,Segmento 1,MES 3,10,5,Servicio,
693,Segmento 1,MES 1,10,5,Todo bien,
694,Segmento 1,MES 2,10,5,Excelente atención,Todo muy bien
695,Segmento 1,MES 3,10,5,Muy buena atención,
696,Segmento 1,MES 1,10,4,Buen servicio,Horarios mas flexibles
697,Segmento 2,MES 2,10,5,Buen servicio,Que haya más personal
698,Segmento 1,MES 3,9,4,Buen servicio,"Nada en especial , más rapidez"
699,Segmento 1,MES 1,10,5,Excelente atención,
700,Segmento 1,MES 2,9,5,Buena atención,
701,Segmento 2,MES 3,10,3,Siempre la atención es buena,
702,Segmento 1,MES 1,10,3,Todo normal,Estuvo bien la atención
704,Segmento 1,MES 3,10,5,Buena atencion,Seguir ogual
705,Segmento 2,MES 1,10,5,Buen servicio,
706,Segmento 1,MES 2,9,5,EXCELENTE ATENCION,TODO ESTUVO BIEN
707,Segmento 1,MES 3,10,5,Buena atención,
708,Segmento 1,MES 1,10,5,Buena atencion,Por ahora todo bien
709,Segmento 2,MES 2,10,5,Buena atención,Turnos
710,Segmento 1,MES 3,10,5,Muy buena atencion,Esta muy bien excelente
711,Segmento 1,MES 1,10,5,La atención,Reactivar mi cuenta de ahorros
712,Segmento 1,MES 2,10,5,Muy buena atención,Así está bien
713,Segmento 1,MES 3,10,5,Muy buena atencion,
714,Segmento 1,MES 1,10,5,Buena atencion,
715,Segmento 1,MES 2,10,5,excelente atencion,
716,Segmento 1,MES 3,10,5,Por la atención que me brindaron,Por ahora todo está bien
717,Segmento 2,MES 1,9,5,Buena atención,De momento todo bien
718,Segmento 1,MES 2,10,5,Buen servicio,Mantener buen servicio
719,Segmento 1,MES 3,10,4,Ninguna,Ninguna
720,Segmento 2,MES 1,10,5,Buen servicio,Que lleguen extractos
721,Segmento 1,MES 2,10,5,Buen servicio,Más cajeros
722,Segmento 1,MES 3,10,5,Excelente atención,
723,Segmento 1,MES 1,10,5,Excelente atención,
724,Segmento 1,MES 2,10,5,buen servicio,mas asesores
725,Segmento 1,MES 3,10,5,Buena atencion,Que hayan más cajeros
726,Segmento 1,MES 1,9,5,Buena atención,Mejorar horarios de atención
727,Segmento 1,MES 2,10,5,Excelente servicio,
728,Segmento 2,MES 3,10,5,MUY BUENA ATENCIÓN,
729,Segmento 1,MES 1,10,5,Excelente atención,Mejorar cada día más el recurso humano
730,Segmento 1,MES 2,10,5,Buena atención,Aumentar el personal de atención
731,Segmento 2,MES 3,9,5,Buena atencion,Nada
732,Segmento 1,MES 1,9,2,Mala atención,"No lo sé, comenzaría por colocar gente amable que sonría y que si no tiene la respuesta al menos intente buscar una solución"
733,Segmento 2,MES 2,10,3,Todo igual,Todo bien
734,Segmento 1,MES 3,9,3,Buena atencion,Cuando haya mucha fila habilitar más cajeros
735,Segmento 2,MES 1,10,5,Excelente servicio,Continuar con el servicio
736,Segmento 1,MES 2,10,5,Porque si,Nada por el momento
737,Segmento 1,MES 3,10,5,Buena atención,Esta bien asi
738,Segmento 2,MES 1,10,3,Me atendieron bien,Todo estuvo bien
739,Segmento 1,MES 2,10,5,Excelente atención,Lo que hacen está bien..
740,Segmento 1,MES 3,9,4,Buena atencion,
741,Segmento 1,MES 1,10,5,Excelente atención,Mejorar intereses
742,Segmento 1,MES 2,10,5,Buen servicio,Todo esta muy bn
743,Segmento 1,MES 3,10,5,buen servicio,un tintico gracias
744,Segmento 1,MES 1,9,3,Muy demorada la atención.,Agilizar
745,Segmento 1,MES 2,10,4,X,X
746,Segmento 2,MES 3,10,5,Buena atencion,Todo está bien
747,Segmento 1,MES 1,10,4,Buena atención,Se necesita un cajero electrónico para hacer depósitos en el centro comercial chipichape
748,Segmento 1,MES 2,9,5,Por la atención,Todo está bien
749,Segmento 1,MES 3,10,5,Muy buena atencion,Yo lo beo muy bien
750,Segmento 1,MES 1,9,4,Igual,Así está bien
751,Segmento 2,MES 2,10,3,Buena atencion,Más comunicación y mejores tasas de interés ya que necesito de su apoyo
752,Segmento 1,MES 3,10,4,Excelente servicio,Prioridad para el adulto mayor
754,Segmento 1,MES 2,9,5,Es bueno,
755,Segmento 1,MES 3,10,5,Buen servicio,
756,Segmento 2,MES 1,10,5,Excelente atencion,
757,Segmento 1,MES 2,10,5,Excelente atencion,
758,Segmento 2,MES 3,10,5,Excelente atención,"Tengo un bloqueo a mi juicio injustificado, pues creo siempre trato de cumplir con mis obligaciones y no se porque me niegan los servicios financieros que el banco brinda."
759,Segmento 1,MES 1,10,5,Excelente atención,Todo perfecto
760,Segmento 1,MES 2,10,5,Muy buena Atencion,
761,Segmento 1,MES 3,10,5,Muy buena atención,Todo muy bien
762,Segmento 2,MES 1,10,4,buen servicio,no tengo sugerencia en el momento
763,Segmento 1,MES 2,10,5,Buen servicio,
764,Segmento 1,MES 3,10,5,Buen servicio,Así está bien
765,Segmento 1,MES 1,10,5,Excelente atención,
766,Segmento 2,MES 2,10,5,Todo bien,Todo bien
767,Segmento 2,MES 3,10,5,Excelente atención,
768,Segmento 1,MES 1,10,5,Excelente atención,Más asesores. Hay momentos que se vuelve la atención muy pesada
769,Segmento 1,MES 2,10,5,por la atención,mas acesores
770,Segmento 1,MES 3,9,5,Buena atención,
771,Segmento 1,MES 1,10,5,Buena atención,Sigan así
772,Segmento 2,MES 2,9,5,Buena atencion,Todo bien
773,Segmento 1,MES 3,10,5,Buen servicio,Detalles
774,Segmento 1,MES 1,10,5,Excelente atención,Mejores beneficios para los clientes preferenciales
775,Segmento 1,MES 2,10,5,Buena atención,Todo bien
776,Segmento 1,MES 3,9,5,Muy buena atención,"Depronto en la app , poder pagar o abonar a la deuda del crédito rotativo"
777,Segmento 1,MES 1,9,5,buena atencion,brindar mejores beneficion financieros a quienes tenemos buen consumo y manejo de pago.
778,Segmento 1,MES 2,10,3,Nada,No
780,Segmento 1,MES 1,10,5,Sin comentarios,
781,Segmento 1,MES 2,10,5,Muy buena atencion,Todo estubo bien
782,Segmento 1,MES 3,10,5,Excelente atención,"No hay una sucursal en Belén, de Medellín"
783,Segmento 1,MES 1,10,5,Buen servicio,Tener una sucursal en usa
784,Segmento 1,MES 2,10,5,Excelente atencion,
785,Segmento 1,MES 3,10,5,Buen servicio,Menos filas
786,Segmento 1,MES 1,10,5,Buena atención,Todo está bien
787,Segmento 1,MES 2,10,5,Buen servicio,Tener soluciones no solo via telefonica sino presencial
788,Segmento 1,MES 3,9,5,Buena atencion,Horario extendido
789,Segmento 1,MES 1,10,5,Si,La tención fue demasiado buena
790,Segmento 2,MES 2,9,5,Atención rápida,.
791,Segmento 1,MES 3,10,3,Muy lenta la atención,Que sea más ágil la atención en ventanilla de atención dónde se firman los documentos
792,Segmento 2,MES 1,10,5,Buen servicio,Aaa
793,Segmento 2,MES 2,10,5,Buena atención,Todo está bien asi
794,Segmento 1,MES 3,10,5,Todo bien,
795,Segmento 1,MES 1,10,5,Buen servicio,Sin sugerencias
796,Segmento 2,MES 2,9,4,X,X
797,Segmento 2,MES 3,10,5,Excelente atencion,Todo bien
798,Segmento 1,MES 1,9,5,Ninguna,Ninguna
799,Segmento 1,MES 2,10,5,Buena atencion,Más personal para Aguilar servicios
800,Segmento 1,MES 3,10,5,Atención rápida,Lo encuentro bien
801,Segmento 1,MES 1,9,5,Buen servicio,"Más que en la oficina sería en mi cuenta de ahorros:
Es imposible hacer una transacción en las horas de la noche 
Me gustaría que se pudiera recargar la tarjeta de Transmilenio.me gustaría que hubiera más convenios con otras entidades de cajeros automáticos, no solamente con servibanca y una sola ves en el mes.
Esto nos facilitaría mucho y el banco tendría muchos más usuarios.
Gracias ñ."
802,Segmento 2,MES 2,10,5,Buena atención,Información oportuna
803,Segmento 2,MES 3,10,5,Excelente atención,
804,Segmento 2,MES 1,10,4,Buena atencion,Más empleados ñ9ñ
805,Segmento 1,MES 2,9,5,Buena atención,En servicio de caja
806,Segmento 2,MES 3,10,5,Buena atención,Nada
807,Segmento 1,MES 1,10,5,Rapidez en la atención,No aplica
808,Segmento 1,MES 2,9,3,,Mas rapidez en la atención
809,Segmento 1,MES 3,10,3,Sigue igual,dar cafe
810,Segmento 2,MES 1,10,5,Buen servicio,Tener más encuenta mi compromiso de seriedad con los servicios prestados por ustedes.
811,Segmento 1,MES 2,10,5,Buena atención,Más personas en caja
812,Segmento 1,MES 3,9,5,Excelente atención,
813,Segmento 2,MES 1,10,3,N.A,NO COBRAR TANTO POR TRANSACCION
814,Segmento 1,MES 2,10,5,Excelente atención,En horas pico colocar más cajeros para que el tiempo de espera no sea tan grande
815,Segmento 1,MES 3,10,5,excelente atencion,todo bien
816,Segmento 1,MES 1,10,5,Excelente atención,Me siento satisfecha con la atención
817,Segmento 1,MES 2,10,5,buena atencion,
818,Segmento 1,MES 3,10,3,Sigue igual,
819,Segmento 1,MES 1,9,5,buena atención,estuvo bien
820,Segmento 3,MES 2,10,5,Buen servicio,Seguir igual
821,Segmento 3,MES 3,10,5,Muy buena atencion,Yo creo que así está muy bien
822,Segmento 1,MES 1,10,5,Muy buena atención,Extenders los horarios
823,Segmento 1,MES 2,10,5,Muy buena atencion,Esta bien
824,Segmento 1,MES 3,9,4,Buena atencion,
825,Segmento 1,MES 1,9,4,Muy buena atencion,Todo muy bien
826,Segmento 1,MES 2,10,5,Muy buena atención,
827,Segmento 2,MES 3,10,3,Servicio rapido,No cobrarme cuota de manejo
828,Segmento 1,MES 1,10,5,Excelente atención,
829,Segmento 1,MES 2,10,5,Excelente atención,En el momento ninguna recomendación
830,Segmento 1,MES 3,9,3,Buen servicio,Más cajeros que no solo permitan retirar sino hacer pagos y consignaciones en el norte de Cali
831,Segmento 1,MES 1,10,5,Buen servicio,Exelente
832,Segmento 2,MES 2,10,5,Excelente atención,Ofrecer café de calidad
833,Segmento 1,MES 3,10,4,Si,Agilidad
834,Segmento 2,MES 1,10,5,Muy buena atención,Cada vez hay menos sucursales y hay que recorrer mucho en Bogotá
835,Segmento 1,MES 2,10,5,Buena atención al cliente.,Subir el cupo de la tarjeta de crédito.
836,Segmento 1,MES 3,10,5,Excelente atención,
837,Segmento 2,MES 1,10,5,Buena atención,
838,Segmento 1,MES 2,10,3,Es igual,"No cobrar cuota de manejo,y menos tener que hacer 7 compras para no pagar cuota de manejo"
839,Segmento 1,MES 3,9,5,Buena atención,
840,Segmento 1,MES 1,9,5,Excelente atención,La atención es oportuna y excelente 👌
841,Segmento 1,MES 2,10,5,Muy buena atencion,Todo esta muy bien
842,Segmento 1,MES 3,9,3,Todo normal,"Nada diferente, todo va bien"
843,Segmento 2,MES 1,10,5,Agilidad en la atención,"No, todo bien"
844,Segmento 2,MES 2,10,5,Excelente atencion,
845,Segmento 1,MES 3,9,5,Buena atencion,Ver mis movimientos
846,Segmento 1,MES 1,10,5,Muy buena atención,Así esta bien
847,Segmento 1,MES 2,10,5,Excelente atención,"Seguir así, muy bnos."
848,Segmento 1,MES 3,9,3,,Agilizar
849,Segmento 1,MES 1,10,5,Muy buena atención,Tener más personas en las cabinas cuando tengan mucho tráfico de personas
850,Segmento 1,MES 2,9,4,Buen servicio,Mejorar servicio al cliente.
851,Segmento 1,MES 3,9,3,Todo igual,Más cajeros en caja
852,Segmento 1,MES 1,10,5,Me atendieron bien,
