index,segment,answerDate,NPS,impactInteraction,reason,improvement
86,Segmento 1,MES 3,5,1,Duré haciendo cola 40 minutos para llegar a caja y sólo éramos cuatro cliente había sólo una cajera atendiendo a los presentes nos pareció que era lenta sería importante que contarán con dos cajeros siempre y los tiempos con los acesores es muy largo,El siempre tengan dos cajeros y que sean ágiles si miran la grabación verán cuatro señoras muy molestas pq les parecía una falta de respeto con la tercera edad en este momento llegó una prácticamente y trato de calmar los ánimos
87,Segmento 2,MES 1,4,1,No se ha podido utilizar oportunamente la banca virtual para transferencias y se me han causado costos con la tardía reversión de las que se han dispuesto.,"Tener un sistema de banca virtual más agil, y oportuno."
88,Segmento 1,MES 2,6,3,Muchos inconvenientes,mejorar
89,Segmento 2,MES 3,5,3,Mucha demora para la atención a los clientes,Ser más activos atención prioritaria y ligera no demora la atención más de 10 minutos máximo con el cliente
90,Segmento 2,MES 1,3,3,No es coherente que uno envíe a una persona a que realice el pago y no lo reciban porque no es el titular,"Los cajeros expresan que desconocen cuál es el pago de la tarjeta de crédito y cuál el del préstamo, además creen que se trata de un embargo y se realiza por una cantidad inferior. Si resuelven esto, se avanza bastante"
91,Segmento 1,MES 2,0,1,Se paga mucho interés  corriente  muy poco. Al saldo. Vampiros,Bajar interés corriente
92,Segmento 1,MES 3,4,4,Buena atención,Más cajeros  automáticos
93,Segmento 2,MES 1,0,1,Mal.sercivio,Atender al cliente
94,Segmento 1,MES 2,1,3,"Una cuota de manejo mensual costosa, aunado a unos intereses demasiado altos.",Nada. Gracias.
95,Segmento 1,MES 3,2,1,No solucionan los problemas ellos no tienen la información actualizada y ml q hacen es perjudicar al usuario,Los.empleados en oficina no deberían ser solo.mauquinas q reciben dinero o papeles deben atender de manera integral y q realmente den soluciones
96,Segmento 1,MES 1,0,1,Me robaron,
97,Segmento 2,MES 2,0,3,No son idóneo para prestar asesoría,No creo que puedan dar un mejor servicio!
98,Segmento 1,MES 3,3,3,Service is extremely horrible.,"Obviously hire more cashiers or put the 7-8-9 people doing nothing to work as cashiers.Teach them to do more than just sitting there. Cross training. Aproximately year ago I withdrew $26,000,000 mil pesos after going to Scotia three times to make a deposit. Waiting a grand total of one hour and 18 minutes for the three tries at depositing, I withdrew my money and walked out. You truely have no service. The trip on  Dec. 12th a little better as only 12 people were in line waiting on the one cashier while your other 9-10 employees basicily sat doing nothing. Pretty much the same every time I try and make a deposit."
99,Segmento 1,MES 1,0,1,"El aseosr que me qtendio me hizo entender que no es un banco en el que quierp estar, debí de haber hecho una queja pero no tenía tiempo para hacerla, así que se salvó",Ya no buscaré qlgo más con ustedes
100,Segmento 2,MES 2,0,3,NO ENCONTRE RESPUESTA,DARME SOLUCION A MI PQR
101,Segmento 1,MES 3,0,3,"Não sou cliente.
Continuo a receber mail erradamente.",Alterem o mail do vosso cliente
102,Segmento 2,MES 1,2,1,"La atención no es la mejor, y ponen muchas trabas para los formatos que deberían suministrar más facilmente los cajeros o las personas de servicio al cliente.","Que cuando se solicitar los formularios, abonos cuentas AFC, Retiros para abono a capital cuenta AFC, fuera más fácil acceso, así como la actualización de la páguina web"
103,Segmento 1,MES 2,0,1,No atienden bien,
104,Segmento 2,MES 3,0,3,"Porque tuve tantos problemas de intento de fraudes específicamente con sus tarjetas que ir a las oficinas, en nada cambia mi sensación de inseguridad en torno a los productos.",Revisen qué pasa con la información que uno les entrega porque los intentos de fraude requerían información que solo tenían ustedes y yo.
105,Segmento 1,MES 1,0,4,"Por qué hicieron actualizar un celular al cual me llaman a diario , por quede sin lograr los estratos que son imposible bajarlos por la app o el PC . No es posible que para registrar u obtener nombre de usuario desde ayer estoy esperando el email, y eso que tampoco tengo password. No entiendo por qué los estratos no los siguen enviand virtual como lo hacen los bancos",Enviar los extractos por  e mail
106,Segmento 1,MES 2,0,5,No me llegó el extracto no lo encontré y me puse en mora y casi se juntan dos cuotas más los intereses de no pagar a tiempo,Mejorar el servicio de correspondencia de las fechas de pago..
