segment,answerDate,NPS,impactInteraction,reason,improvement
1,1,6,2,Porque la página se cae mucho y ayer le hice abonos a mi tarjeta y no se veía reflejado,"Que son se caiga tanto ,y también que se vea de una vez reflejado los movimientos j"
2,2,0,1,"La banca molesta demasiado que  ni para abrir un cdt desde la aplicacion da es como tristeza los funcionarios no se toman la molestia de pasar la queja es como si no les importara el cliente , nada como la atencion de maria angelica",Contratando tecnicos para solucionar  los inconvenientes  y la atencion de los asesores pesima
3,3,6,3,Muy lentos los procesos,Que funcione más en línea y se vean reflejados de forma inmediata.
1,1,1,3,"la atención telefónica es pésima, no tienen capacitación los asesores, no repsonden las quejas....bla, bla, bla...",capacoitar a sus funcionarios y responder las quejas
1,2,0,1,Transaciones no salen me robaran 30000,Son malos
1,3,5,3,no hay nada que me genere valor agregado respecto a otros bancos.  me es indiferente,
1,1,0,1,Es muy malo no hay cajero ni con venio con otra cajero,Pongan más cajero y seguros
2,2,0,1,Llevo más de 8 años siendo cliente fiel al banco y esa nueva medida de cobrar cuota de manejo en el rotativo fue lo peor q pudieron inventar. Un producto q se usa de vez en cuando para salir de situaciones difíciles y le cargan cuota de manejo si no se usa???,Pensar de vez en cuando en el cliente. Mi tarjecredito tengo q hacer 12 transacciones para evitar cuota de manejo. El rotativo cuota de manejo si no se usa. En serio es hasta abusivo
1,3,2,1,"Se convirtió en un banco de no acceso para clientes que salen del país o  viven en el exterior. Imposible comunicarse para solicitar ayuda en caso de  no poder acceder telefónicamente con las claves, usuario o contraseña porque el sistema las toma como incorrectas.",La tecnología que tienen les está fallando. Los clientes necesitan tener acceso con asesores humanos!!!!!!!para que le den la guía y ayuda necesaria que no siempre y en muchos el contestador automático no le soluciona al cliente el problema!!!!!!
2,1,0,1,,
2,2,0,1,La banca virtual es buena pero la atención personalizada es nula. Además me perjudicaron al cancelar mi tarjeta de crédito sin ninguna razón y sin previo aviso. Obraron arbitrariamente.,"Ya estoy retirando y cancelando todos mis productos que por más de 35 o más años tuve desde antes de ser Banco, cuando era «Corpavi». Yo era muy joven."
1,3,4,1,"A mí padre le sacaron el dinero de su cuenta desde su banca virtual , el sistema es fácilmente hackeable y eso genera desconfianza , habiendo puesto restricción en el valor de sus transferencias deberían haberla impedido.",Blindar mejor las dos plataformas para que no haya posibilidad de que saquen el dinero tan fácil.
1,1,6,3,,
2,2,2,1,La atención para bloquear la tarjeta fue muy complicada y tiene muchos trámites debe ser más rápida y cuando sean compras por internet un control más riguroso,Tener más control para las compras x internet no  se puede aprobar tan rápido
